Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR1972917,4/14/2015 13:59,4/14/2015 13:56,4377867,884329134,4377867,202,486,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/972/SRR1972917/SRR1972917.sralite.1,SRX994194,G5723.1.l1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS908519,SAMN03254208,simple,186538,Zaire ebolavirus,G5723.1,,,,,,,no,,,,,BI,SRA178666,,public,4C15DC4E43EA2DD6DA211DCDB3E400F0,94BEB800D624CB20C04DD09D0C56BC86
SRR1972918,4/14/2015 13:58,4/14/2015 13:56,3856384,778989568,3856384,202,457,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/972/SRR1972918/SRR1972918.sralite.1,SRX994195,G5731.1.l1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS908518,SAMN03254209,simple,186538,Zaire ebolavirus,G5731.1,,,,,,,no,,,,,BI,SRA178666,,public,63AE692146061962D2BA889EAF5A86CA,F910CC0D2C1F588AD0EB8C1DDE93AD14
SRR1972919,4/14/2015 13:59,4/14/2015 13:56,4816440,972920880,4816440,202,541,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/972/SRR1972919/SRR1972919.sralite.1,SRX994196,G5732.1.l1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS908517,SAMN03254210,simple,186538,Zaire ebolavirus,G5732.1,,,,,,,no,,,,,BI,SRA178666,,public,875BAA494A202E07D4C2AFF0CDCED0CF,D24F6CF7F25124501E78CF4231D92208
SRR1972920,4/14/2015 13:57,4/14/2015 13:55,320773,64796146,320773,202,38,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/972/SRR1972920/SRR1972920.sralite.1,SRX994197,G5735.2.l1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS908516,SAMN03254213,simple,186538,Zaire ebolavirus,G5735.2,,,,,,,no,,,,,BI,SRA178666,,public,86887B8C582B79D65B76677EF1F6BF1D,1EB2BECBDC28757D477F2D95F1894340
SRR1972921,4/14/2015 13:59,4/14/2015 13:57,5720830,1155607660,5720830,202,677,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/972/SRR1972921/SRR1972921.sralite.1,SRX994198,G5737.1.l1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS908515,SAMN03254215,simple,186538,Zaire ebolavirus,G5737.1,,,,,,,no,,,,,BI,SRA178666,,public,CBDFC46B848BCEF3AB35E3E2B9947A72,73EE063FB47E6C9BB4170C04224038B5
SRR1972922,4/14/2015 13:57,4/14/2015 13:55,5244734,1059436268,5244734,202,605,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/972/SRR1972922/SRR1972922.sralite.1,SRX994199,G5738.1.l1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS908514,SAMN03254216,simple,186538,Zaire ebolavirus,G5738.1,,,,,,,no,,,,,BI,SRA178666,,public,0C6E439D591C471DD7FB201C1DE6BCA5,45DF9E6EF5A12744FF01FC06FD8AE1A5
SRR1972923,4/14/2015 13:57,4/14/2015 13:55,2093369,422860538,2093369,202,240,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/972/SRR1972923/SRR1972923.sralite.1,SRX994200,G5739.2.l1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS908513,SAMN03254217,simple,186538,Zaire ebolavirus,G5739.2,,,,,,,no,,,,,BI,SRA178666,,public,C53834CDDDFBEF10F6008D7EA68D4499,E9C20E0C1CF290C9F20E1DB27FAAFC61
SRR1972924,4/14/2015 13:57,4/14/2015 13:55,3509670,708953340,3509670,202,395,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/972/SRR1972924/SRR1972924.sralite.1,SRX994201,G5740.1.l1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS908512,SAMN03254218,simple,186538,Zaire ebolavirus,G5740.1,,,,,,,no,,,,,BI,SRA178666,,public,E0F1EF3E1F145A06CDCA78B56E40B0E8,D1F00CAC313C5D67855242DA57AB0BB4
SRR1972925,4/14/2015 13:57,4/14/2015 13:55,5374781,1085705762,5374781,202,651,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/972/SRR1972925/SRR1972925.sralite.1,SRX994202,G5743.1.l1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS908511,SAMN03254219,simple,186538,Zaire ebolavirus,G5743.1,,,,,,,no,,,,,BI,SRA178666,,public,2838324C007DCBDEBCD57511C164D394,7583A31702D818295ED2AEEF1C616E10
SRR1972926,4/14/2015 13:53,4/14/2015 13:47,5131420,1036546840,5131420,202,534,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/972/SRR1972926/SRR1972926.sralite.1,SRX994203,G5748.1.l1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS908510,SAMN03254220,simple,186538,Zaire ebolavirus,G5748.1,,,,,,,no,,,,,BI,SRA178666,,public,DC5B87DA4341129BE82C77723800CF5D,04A2A420CFC30D90BADDA176968257AA
